id,comment count
29573607,22
29574359,76
29574027,21
29572477,13
29573020,6
29574190,16
29572310,7
29574986,6
29571786,6
29573976,10
29576352,118
29574388,22
29575372,31
29575922,15
29577056,25
29574250,8
29574160,16
29575044,11
29577897,83
29575127,12
29577272,30
29578450,98
29576323,10
29579362,43
29579410,40
29579994,66
29580726,21
29581125,320
29578343,20
29580854,24
29576394,21
29576820,11
29578531,71
29581112,19
29582437,34
29577794,14
29582686,33
29583463,13
29578687,30
29581514,15
29584185,24
29580686,23
29580619,16
29583788,24
29584698,20
29585654,45
29586740,12
29587024,30
29587469,24
29585950,8
29586549,14
29588174,54
29580206,23
29587269,38
29587752,17
29581061,24
29588054,149
29583792,36
29588995,10
29586970,26
29589436,16
29591465,77
29591578,25
29590667,22
29586658,22
29592103,58
29591806,15
29588801,7
29590501,11
29591816,24
29594462,42
29589700,30
29588078,8
29593096,44
29594389,31
29595598,104
29595614,33
29593341,16
29594983,90
29595768,17
29595926,20
29591395,6
29595399,12
29597411,8
29591819,18
29590681,55
29595506,17
29594763,11
29596511,10
29598860,24
29595810,12
29592885,57
29599132,35
29599553,53
29597119,11
29593987,31
29601573,77
29595512,4
29602038,43
29596779,10
29597729,13
29602635,43
29603208,26
29599757,15
29602239,26
29600320,20
29602064,24
29604465,32
29597648,11
29604421,66
29605111,33
29605394,106
29597454,51
29606600,24
29601425,11
29602203,13
29604929,8
29606476,178
29604864,13
29604097,23
29607145,17
29605104,62
29605429,11
29607105,30
29608534,34
29607587,16
29604560,13
29608967,36
29605708,12
29606523,37
29604754,16
29608244,9
29608845,10
29611139,52
29610498,10
29610806,68
29608552,11
29610913,8
29606411,11
29612289,37
29612976,38
29610956,11
29613382,56
29614015,43
29612778,73
29614648,26
29613331,11
29606591,19
29615186,57
29612245,9
29615102,38
29609388,34
29614095,91
29615268,37
29612750,7
29609785,6
29615101,16
29613456,31
29614837,18
29617794,68
29615428,11
29617659,24
29614361,10
29618435,25
29618772,13
29619207,25
29620235,30
29619279,17
29617779,15
29620275,17
29621642,99
29617276,37
